"","time","atm"
"172",2022-09-12 11:00:00,1006.96233814655
"173",2022-09-12 12:00:00,1007.92151530172
"174",2022-09-12 13:00:00,1008.82675138777
"175",2022-09-12 14:00:00,1009.64223220156
"176",2022-09-12 15:00:00,1010.07364213362
"177",2022-09-12 16:00:00,1010.16152204258
"178",2022-09-12 17:00:00,1009.81563799515
"179",2022-09-12 18:00:00,1009.46337502021
"180",2022-09-12 19:00:00,1009.28716958513
"181",2022-09-12 20:00:00,1009.14481719213
"182",2022-09-12 21:00:00,1008.91132559957
"183",2022-09-12 22:00:00,1008.82508388575
"184",2022-09-12 23:00:00,1008.84181233836
"185",2022-09-13 00:00:00,1009.68075157639
"186",2022-09-13 01:00:00,1010.41511592134
"187",2022-09-13 02:00:00,1010.62772306656
"188",2022-09-13 03:00:00,1010.84371810833
"189",2022-09-13 04:00:00,1010.37364461207
"190",2022-09-13 05:00:00,1009.52541608731
"191",2022-09-13 06:00:00,1008.70476651401
"192",2022-09-13 07:00:00,1007.79889935327
"193",2022-09-13 08:00:00,1007.12957675108
"194",2022-09-13 09:00:00,1006.98334246834
"195",2022-09-13 10:00:00,1007.228262436
"196",2022-09-13 11:00:00,1007.91323613581
"197",2022-09-13 12:00:00,1008.58180827047
"198",2022-09-13 13:00:00,1009.52868331986
"199",2022-09-13 14:00:00,1010.43081344289
"200",2022-09-13 15:00:00,1010.78406814875
"201",2022-09-13 16:00:00,1010.63457491242
"202",2022-09-13 17:00:00,1010.03356608297
"203",2022-09-13 18:00:00,1009.46035944489
"204",2022-09-13 19:00:00,1009.13918561422
"205",2022-09-13 20:00:00,1008.86191131466
"206",2022-09-13 21:00:00,1008.74189886823
"207",2022-09-13 22:00:00,1009.0080342403
"208",2022-09-13 23:00:00,1009.29977159795
"209",2022-09-14 00:00:00,1009.86257540409
"210",2022-09-14 01:00:00,1010.35544214497
"211",2022-09-14 02:00:00,1010.76735289679
"212",2022-09-14 03:00:00,1010.87035412177
"213",2022-09-14 04:00:00,1010.35007297224
"214",2022-09-14 05:00:00,1009.29764181034
"215",2022-09-14 06:00:00,1008.23233936944
"216",2022-09-14 07:00:00,1007.49927399623
"217",2022-09-14 08:00:00,1007.16109862608
"218",2022-09-14 09:00:00,1006.85420115872
"219",2022-09-14 10:00:00,1007.31030083513
"220",2022-09-14 11:00:00,1007.55042546483
"221",2022-09-14 12:00:00,1008.3794292374
"222",2022-09-14 13:00:00,1009.35196153017
"223",2022-09-14 14:00:00,1009.85355565733
"224",2022-09-14 15:00:00,1010.24644165993
"225",2022-09-14 16:00:00,1009.93064507004
